department,subject,course_number,title,course_id,term,credits,weekdays,start_time,end_time,instructors,distribution,requirements,description
Faculty of Arts and Sciences,AFRAMER,86,Race and Public Health Crises: From TB to AIDS to COVID-19,222126,2025 Fall,4,Tue/Thu,12:00 PM,01:15 PM,,Social Sciences,,"George aumoithe This course explores the complex interplay between race and public health crises, from tuberculosis to AIDS and COVID-19. Students will examine the visual culture of epidemics, critically analyze systems of racial classification, and study the work of influential sociologists, political scientists and historians of medicine and public health. The course challenges students to question the racial epistemology underlying epidemiological research and practice, fostering a deeper understanding of how race has shaped and has been shaped by public health responses from the 19th century to the present. By engaging with diverse materials and perspectives, students will develop critical tools to analyze racial health disparities and their societal implications, both in historical contexts and amid contemporary health challenges."
Faculty of Arts and Sciences,AFRAMER,91R,Supervised Reading and Research,110605,2026 Spring,4,,,,,Social Sciences,,"Vincent Brown Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project."
Faculty of Arts and Sciences,AFRAMER,97,Sophomore Tutorial: Understanding Race and Racism,123590,2026 Spring,4,Thu,12:45 PM,02:45 PM,Carla Martin,Social Sciences,Instructor Permission Required,"Carla Martin This course will examine the history of race and racism – key analytical constructs that express fundamental issues not only of power and inequality, but also of justice, democracy, equity, and emancipation. The study of race in the social sciences and humanities is an established, dynamic, multidisciplinary, and international field. To understand race and racism with a global perspective, it is necessary to have a transdisciplinary, cross- cultural view to read critically the phenomena that intersect with this variable. Course readings are drawn from the fields of African and African American Studies, sociology, history, cultural studies, political science, anthropology, philosophy, journalism, and public health. The vast literature produced by scholars in diverse fields provides evidence of how race is based on narratives created to enslave, subordinate, exploit, and exclude millions of human beings across the globe. Assignments will address pressing real-world questions related to race and racism, as well as pedagogically significant areas of undergraduate intellectual and academic development."
Faculty of Arts and Sciences,AFRAMER,98,Junior Tutorial - African American Studies,118023,2026 Spring,4,,,,,Social Sciences,,"Vincent Brown Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project. Completion of African and African American Studies 10, or a substitute course approved by the Director of Undergraduate Studies."
Faculty of Arts and Sciences,AFRAMER,98A,Junior Tutorial - African Studies,119818,2026 Spring,4,,,,,Social Sciences,,"Vincent Brown Students wishing to enroll must petition the Director of Undergraduate Studies for approval, stating the proposed project, and must have the permission of the proposed instructor. Ordinarily, students are required to have taken some coursework as background for their project. Completion of African and African American Studies 11, or a substitute course approved by the Director of Undergraduate Studies."
Faculty of Arts and Sciences,AFRAMER,99A,Senior Thesis Workshop,124132,2025 Fall,4,,,,,Social Sciences,Instructor Permission Required,Jesse McCarthy Thesis supervision under the direction of a member of the Department. Part one of a two part series.
Faculty of Arts and Sciences,AFRAMER,99B,Senior Thesis Workshop,159794,2026 Spring,4,,,,,Social Sciences,Instructor Permission Required,"Vincent Brown, Carla Martin Thesis supervision under the direction of a member of the Department. Part two of a two part series."
Faculty of Arts and Sciences,AFRAMER,119X,"Chocolate, Culture, and the Politics of Food",108879,2026 Spring,4,Thu,03:45 PM,05:45 PM,Carla Martin,Social Sciences,Instructor Permission Required,"Carla Martin This course will examine the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called food of the gods. Interdisciplinary course readings will introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate's future of scientific study, international politics, alternative trade models, and the food movement. Assignments will address pressing real world questions related to chocolate consumption, social justice, responsible development, honesty and the politics of representation in production and marketing, hierarchies of quality, and myths of purity."
Faculty of Arts and Sciences,AFRAMER,123Z,American Democracy,111438,2026 Spring,4,Tue,12:45 PM,02:45 PM,John Stauffer,Social Sciences,,"John Stauffer, Roberto Mangabeira Unger Democracy, inequality, and nationalism in America. The white working class and American politics. Class and race. Identities and interests. Conditions for socially inclusive economic growth and for the deepening and dissemination of the knowledge economy. Alternative directions of institutional change, viewed in light of American history. Democratizing the market and deepening democracy. Self-reliance and solidarity. We explore and discuss the past, present, and especially the future of the American experiment among ourselves and with invited guests: thinkers, politicians, social activists, and entrepreneurs.Readings drawn from classic and contemporary writings about the United States. Extended take-home examination."
Faculty of Arts and Sciences,AFRAMER,124,"Tobacco and Sugar, Seminar in Caribbean Counterpoints",126728,2026 Spring,4,Tue,12:00 PM,02:45 PM,Doris Sommer Cuban,,,"Doris Sommer Cuban Counterpoint: Tobacco and Sugar (Fernando Ortiz 1940) will guide explorations of aesthetic and historical tensions throughout the Spanish Caribbean. Different crops produced different political/cultural responses. Along with musical forms, plastic arts, and politics, we concentrate on literary works including abolitionist Cecilia Valdés, El reino de este mundo, the Dominican Over, Puerto Rico's La charca, Jamaica's Wide Saragasso Sea, writings by Hostos, Bonó, Mintz, Klein, among others."
