course_code,course_title,course_teacher,link,fas_code,unique_code,course_id,num_responded,num_students,course_score_mean,course_score_median,course_score_mode,course_score_stdev,lecturer_score_mean,lecturer_score_median,lecturer_score_mode,lecturer_score_stdev,workload_score_mean,workload_score_median,workload_score_mode,workload_score_stdev,rec_score_mean,rec_score_median,rec_score_mode,rec_score_stdev,sentiment_score_mean,sentiment_score_median,sentiment_score_mode,sentiment_score_stdev,gem_probability_mean,gem_probability_median,gem_probability_mode,gem_probability_stdev,best_comment,max_sent_score,worse_comment,min_sent_score,best_gem_comment,max_gem_probability
AFRAMER 86,Race and Public Health Crises: From TB to AIDS to COVID-19 001,Hammonds,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3c86a971df4eb6fef9ac8a7cd960ccc1206172746dc4b01efe3d0bea3788252ce8b35e489855d0602d7c2ba8c4bc78d8&ReportType=2&regl=en-US,FAS-222126-2252-1-1-001,FAS-222126-2252-1-1-001(Hammonds),222126,8,11,3.86,4.0,5.0,1.128331207195526,4.33,4.5,5.0,0.7528397417562895,7.67,5.5,5.0,4.72,3.71,4.0,3.0,1.11,0.6408,0.9044,0.9044,0.45983754740125343,0.0,0.0,0.0,0.0,"I think every public health student should take this class. So much of what we are taught in public health school is presented without much or any historical context, and this course was an incredible helpful corrective to that pedagogical practice. Also it was an honor to take a class from an amazing team of public health historians who did a great job of selecting excellent readings and other source material.",0.9559,"The course instructors don’t seem to have a solid grip on what  they want this course to be which led to a lot of confusion and frustration among the students in the course. I would not recommend this course if you are just starting out with the content matter, this course is better suited for committed AAAS concentrators",-0.1053,,0.0
AFRAMER 86,Race and Public Health Crises: From TB to AIDS to COVID-19 001,aumoithe,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=61b78075c428272e1243bc78ac1e479372c4aff55bda84960c65d7baadee3643ab07163a65bb73d1406857768e9cbdec&ReportType=2&regl=en-US,FAS-222126-2252-1-1-001,FAS-222126-2252-1-1-001(aumoithe),222126,8,11,3.86,4.0,5.0,1.128331207195526,4.6,5.0,5.0,0.8040302522073697,7.67,5.5,5.0,4.72,3.71,4.0,3.0,1.11,0.6408,0.9044,0.9044,0.45983754740125343,0.0,0.0,0.0,0.0,"I think every public health student should take this class. So much of what we are taught in public health school is presented without much or any historical context, and this course was an incredible helpful corrective to that pedagogical practice. Also it was an honor to take a class from an amazing team of public health historians who did a great job of selecting excellent readings and other source material.",0.9559,"The course instructors don’t seem to have a solid grip on what  they want this course to be which led to a lot of confusion and frustration among the students in the course. I would not recommend this course if you are just starting out with the content matter, this course is better suited for committed AAAS concentrators",-0.1053,,0.0
AFRAMER 97,Sophomore Tutorial: Understanding Race and Racism 001,Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e03fd904bcf621e9eae3431c3838853d48dcdf6b35f0a430d0b4ed700c3c6c93ecf3b6109d630a14375aa94f7bf72c79&ReportType=2&regl=en-US,FAS-123590-2252-1-1-001,FAS-123590-2252-1-1-001(Martin),123590,7,8,4.83,5.0,5.0,0.3775251680686369,5.0,5.0,5.0,0.0,3.6,3.0,3.0,0.89,4.83,5.0,5.0,0.41,0.9061999999999999,0.9061999999999999,0.94,0.04780041840821061,0.0,0.0,0.0,0.0,Great class! Pretty much just an open discussion about the readings every class so it's super chill and just a good class to get to know other people in the concentration.,0.94,,0.0,,0.0
AFRAMER 119X,"Chocolate, Culture, and the Politics of Food 001",Martin,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b041430d423d9c2f3e5dbd639e69b2b7795621e6931e0df7430925b40544e8eefa6e344dadfc35bb9205fc609fede5bb&ReportType=2&regl=en-US,FAS-108879-2252-1-1-001,FAS-108879-2252-1-1-001(Martin),108879,25,35,4.71,5.0,5.0,0.6410078697714334,4.88,5.0,5.0,0.32659863237109044,3.25,3.0,2.0,2.02,4.71,5.0,5.0,0.64,0.6511090909090909,0.8316,0.0,0.36836871597502807,0.09090909090909091,0.0,0.0,0.30151134457776363,"This is a PHENOMENAL class and I would highly recommend taking it. Carla is probably the best lecturer I've had at Harvard and she makes every lecture so captivating and entertaining. Sections are also super fun and we get to engage more critically with the readings and participate in meaningful discussions. Of course, getting to taste chocolate most weeks is also a huge plus (especially when they are so delicious)! The exams are very reasonable and the teaching staff goes out of their way to make sure that we are prepared. The projects were also super interesting and allowed us to delve into a topic of our choice. Overall, the class is so well executed and I was so impressed with the team. TAKE IT!!",0.9911,,0.0,"TAKE THIS CLASS!! Truly a gem, but genuinely an interesting and worthwhile course. I had never taken a class related to chocolate before, or even thought to much about chocolate and its history (like most people), but this course changed the way I'll go about consuming chocolate. Definitely engage with the course readings if you can! Professor Martin is so amazing and knowledgeable. One regret I do have is not attending her office hours. This course is a great fifth class, and you'll love the lectures (most days)! We also get to try chocolates in class some days!",0.9872
AFRAMER 123Z,American Democracy 001,Mangabeira Unger,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=36ac5577a158b9c93a570453904283fd44dd0617d19d5e25b42a5f8940d19c572aeb93c37a2b6423956d1e88776a373b&ReportType=2&regl=en-US,FAS-111438-2252-1-1-001,FAS-111438-2252-1-1-001(Mangabeira Unger),111438,8,15,4.0,4.0,3.0,0.8206518066482898,3.67,4.0,2.0,1.2535663410560174,6.2,6.0,6.0,2.28,4.0,4.0,3.0,1.0,0.6546000000000001,0.6428,0.4823,0.178492772962941,0.0,0.0,0.0,0.0,"if you are an undergraduate, go to section its super helpful and you learn so much and you really get the chance to speak your mind and explore why you think the way that you do",0.8387,,0.0,,0.0
AFRAMER 123Z,American Democracy 001,Stauffer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4ae00e125515a311e5ca9e62876cf298a193cd0ebeaa70f1bb9aa414deed71cfc9b5913cd54dd7c0fbb692c0f3a3ce55&ReportType=2&regl=en-US,FAS-111438-2252-1-1-001,FAS-111438-2252-1-1-001(Stauffer),111438,8,15,4.0,4.0,3.0,0.8206518066482898,4.4,5.0,5.0,0.8040302522073697,6.2,6.0,6.0,2.28,4.0,4.0,3.0,1.0,0.6546000000000001,0.6428,0.4823,0.178492772962941,0.0,0.0,0.0,0.0,"if you are an undergraduate, go to section its super helpful and you learn so much and you really get the chance to speak your mind and explore why you think the way that you do",0.8387,,0.0,,0.0
AFRAMER 124,"Tobacco and Sugar, Seminar in Caribbean Counterpoints 001",Sommer,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=33afc2a1be67fe22bfece30daacb0165c04d510d8eb9ac247828255b305e17404fca62a2504ff78e42058967b86d049a&ReportType=2&regl=en-US,FAS-126728-2252-1-1-001,FAS-126728-2252-1-1-001(Sommer),126728,9,12,4.14,5.0,5.0,1.4594074584810541,4.57,5.0,5.0,0.7297037292405271,8.0,7.0,10.0,4.0,4.14,5.0,5.0,1.57,0.72545,0.7541500000000001,0.7717,0.0974443601925393,0.0,0.0,0.0,0.0,"I would emphasize that this class has very unique class structure. It is all about having every person in the class share one idea, one question, one reflection repeatedly throughout the seminar –– but without ever exchanging ideas or thoughts between each other. This means everyone will always participate multiple times –– which holds you accountable, in part, to the extremely long and difficult readings (sometimes running up to 100 pages of Spanish literature a week) –– but there is never any actual dialogue or conversation (because it is just going around sharing one thing per person), so the analysis is irritatingly minimal. Be prepared to spend at least 30 minutes total every class going around the room reflecting on what it was like to hear your classmates ask questions about the text, or what it was like to share a connection with the text with your peers. Doris will also not really lecture about any of the works; the emphasis is just hearing how your peers reacted to it for two hours each week.",0.8076,,0.0,,0.0
AFRAMER 132Z,Vision and Justice (The Seminar) 001,Lewis,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5596f7d9b0814de82c28a3290ff657f763765ae29966c6536e36944590d4cdc60f60010c931274561d3d032d0dd2f7d0&ReportType=2&regl=en-US,FAS-205873-2252-1-1-001,FAS-205873-2252-1-1-001(Lewis),205873,10,10,4.78,5.0,5.0,0.41633319989322654,4.71,5.0,5.0,0.45604802157206864,6.0,6.0,3.0,2.58,4.89,5.0,5.0,0.33,0.9205428571428571,0.9395,0.8908,0.0904078141376223,0.0,0.0,0.0,0.0,"There was very limited information about this class going into it so I didn't fully know what to expect. Overall, I really enjoyed this class and am glad that I took it. The class is focused on how racial hierarchies are created and perpetuated through art. It will expose you to dark truths that America often tries to ignore. I loved the lessons on art and indigenous Americans and art and the Japanese intonement and wish that there was more time spent focusing on this throughout the course. I would recommend this course to any student who is interested in the African American experience and race studies through an art history lens. Sometimes I felt the course was a little repetitive however Professor Lewis is a very caring lecturer who really takes the time to understand her students. I really appreciated how each class began with time sharing what we were grateful for that week. There was a lot of flexibility in the final project which was great for exploring.",0.9892,,0.0,,0.0
AFRAMER 135Y,Black Feminist Theory Seminar 001,Perry,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=43b071228878aa33d70d92d46c2a5d06ada3bcf76af106a1ff664ec29ab93e187d641273e8546f3c29f4aaaf22ae2863&ReportType=2&regl=en-US,FAS-222229-2252-1-1-001,FAS-222229-2252-1-1-001(Perry),222229,22,32,4.7,5.0,5.0,0.5595813731096784,4.85,5.0,5.0,0.3588702812826367,4.53,5.0,5.0,2.12,4.7,5.0,5.0,0.66,0.70843,0.8646,0.25,0.3251910756258029,0.0,0.0,0.0,0.0,This is a wonderful class that anyone can and should take who wants to learn more about or engage more deeply with Black feminist theory. Professor Perry is lovely and so is Imani. The mix of undergraduates and graduate students expands class perspectives and has a unique way of enriching discussions. The assignments allow you to reflect deeply on course themes without feeling burdensome. This class was truly always the highlight of my week.,0.9567,,0.0,,0.0
AFRAMER 154Y,African American Fraternal Associations in U.S. Society and Politics 001,Skocpol,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9ee71ae9da6b8f9334abe5f9f18f4e63097bce131671a97dcd2156643f3d9a2a8331dc6ef9487f0604e7ae50ae212d19&ReportType=2&regl=en-US,FAS-225711-2252-1-1-001,FAS-225711-2252-1-1-001(Skocpol),225711,8,10,4.71,5.0,5.0,0.45604802157206864,5.0,5.0,5.0,0.0,5.71,5.0,7.0,1.6,4.86,5.0,5.0,0.38,0.962975,0.9578,0.9848,0.015204906006505493,0.0,0.0,0.0,0.0,"This is a great course, especially if you like to combine historical context with US political structures/systems. You have to be willing to challenge yourself and be innovative, ask a lot of questions as this is a still developing field. But Prof. Skocpol is extremely interested in this work and is super enthusiastic about it. If you show enthusiasm and curiosity, you will really get a lot out of this course.  But as Prof. Skocpol says, “this is not a gut.” She expects you to come into class with discussion questions and having done the reading.  So only take this class if you are willing to put in the effort and engage in lively discussion every week.",0.9848,,0.0,,0.0
